Solution ID,f[1] (B),f[2] (W),f[3] (s)
8197,55.0,30.030928621,9010.95446386
7171,62.0,23.2284591755,8797.31423276
24629,43.0,35.4622428259,9281.85586116
22539,62.0,22.0046410937,8886.10624992
14405,46.0,33.8492450471,9285.03619269
8277,54.0,32.1843588064,8988.62032386
20571,50.0,31.2009468369,9404.28803199
20697,53.0,28.9422764452,9079.51538003
20704,61.0,23.4845782877,8822.39831725
20715,42.0,40.6042498492,9293.28146379
18686,63.0,21.8706719394,8823.51821007
22799,48.0,32.6063025213,9284.62827435
16681,63.0,20.7814864717,9041.36029143
18731,47.0,33.6380726875,9341.62190137
18782,56.0,31.1470393065,9002.24993312
8127,46.0,35.0659361499,9211.94336799
20881,50.0,30.6141574995,9413.12945316
22973,45.0,36.913216052,9133.78199688
10701,43.0,44.982398642,9136.06024228
20986,44.0,38.4365928827,9172.59257032
18961,50.0,32.5537928282,9184.4788779
23117,54.0,26.5113419421,9078.70968912
23128,45.0,46.468808867,9071.00637108
23137,43.0,34.3262032646,9340.7496849
19047,42.0,40.3106943095,9294.03493776
19063,46.0,38.0038666078,9072.21991499
772,55.0,31.6744031458,8984.74987674
12961,61.0,23.133191339,8885.52686907
21158,60.0,26.950009362,8816.47092423
19158,61.0,23.1406555399,8851.60917317
19187,64.0,20.6698151405,8762.42147386
23289,51.0,31.2674005404,9018.55514151
23292,45.0,46.5586119493,9058.12497141
14466,62.0,21.7370477194,8978.61087477
8979,52.0,28.9987275621,9233.56266833
12078,55.0,29.2868127928,9046.36156615
14475,58.0,23.7091000965,9037.73061008
16865,58.0,25.1801524647,8859.74523573
9700,42.0,40.0589314024,9344.5082533
19304,60.0,23.5718156485,9014.4917861
10728,62.0,22.7674371306,8853.47164292
15234,43.0,35.231243924,9299.25855062
2965,60.0,24.8034629842,8978.78432682
16198,42.0,42.3996491479,9190.64672042
17352,57.0,26.9641903786,8956.35504755
11223,54.0,30.7097028799,9004.42250253
11258,43.0,38.0520513849,9206.45200803
17465,43.0,37.085855422,9232.74917392
15420,50.0,32.195388196,9268.4339111
11326,48.0,40.2152335456,9028.68616968
23631,49.0,37.2838971607,8944.84619285
19549,43.0,32.0804804472,9414.3569574
14905,60.0,22.7409626817,9176.19963815
23708,62.0,21.2155594235,9060.36538845
17590,50.0,34.8723826245,8965.14771248
11449,48.0,32.9632885299,9110.21054045
17597,56.0,26.0194327193,9019.4290319
1214,48.0,42.0867356216,9000.9040937
23072,42.0,38.6546504,9467.40763058
8741,53.0,30.4236395789,9011.90853065
17679,43.0,35.9896932228,9257.57482224
15636,60.0,25.1180926485,8951.05053498
16609,65.0,19.602585835,8845.20264066
13671,42.0,38.8201313217,9408.31097775
13733,60.0,26.1252375952,8834.66460959
24969,48.0,36.2392084464,9098.909826
15878,43.0,39.2453770905,9150.7798395
13857,53.0,28.3413450096,9483.92836757
20018,59.0,24.8436177566,9032.49045828
19762,42.0,40.7643522042,9223.40399327
13903,49.0,33.2732514003,8975.9373034
7767,44.0,44.0863943359,9089.73962394
24156,43.0,32.2373833975,9353.39473366
24172,42.0,38.86999007,9405.45665697
16007,57.0,27.1019085283,8929.624442
20116,42.0,39.8929567909,9380.1415981
24178,63.0,21.5145049703,9033.29835163
16105,47.0,33.4386469465,9341.75943305
15319,42.0,39.0556257022,9392.60610927
15664,61.0,22.8861278641,8892.26453263
16164,43.0,45.5788277751,9085.59940616
22397,51.0,29.5127931887,9088.42344662
18238,43.0,34.5550766441,9303.34214627
22012,61.0,21.9006215803,9060.36538845
16204,63.0,21.8382521982,8890.14103444
18807,51.0,38.6278116448,8936.77649955
3942,42.0,45.7041092773,9113.65188392
22375,46.0,35.5768398684,9143.51116613
18310,64.0,20.317473371,8945.38636714
24482,42.0,47.1986542452,9096.7388824
18347,45.0,42.560394561,9116.66136656
8249,56.0,33.8977738538,8937.26003186
24502,42.0,38.1822334343,9636.00300105
24223,45.0,34.322854805,9236.42247356
16337,50.0,31.7413741545,9398.5487386
16349,56.0,31.5427203794,8952.51732906
22517,42.0,38.4976144398,9570.01990803
