Solution ID,f[1],f[2],f[3]
158,80.0,394.0,347.9875
184,78.0,408.0,356.91025641
409,74.0,462.0,376.202702703
443,79.0,402.0,352.392405063
483,73.0,602.0,381.356164384
658,81.0,394.0,343.691358025
2666,77.0,441.0,361.545454545
3822,87.0,409.0,319.988505747
5785,87.0,409.0,319.988505747
7378,84.0,391.0,331.416666667
9368,83.0,388.0,335.409638554
10358,85.0,388.0,327.517647059
11652,75.0,456.0,371.186666667
12090,76.0,443.0,366.302631579
12348,80.0,394.0,347.9875
12373,81.0,394.0,343.691358025
13355,81.0,394.0,343.691358025
19167,82.0,385.0,339.5
21431,86.0,400.0,323.709302326
21771,88.0,430.0,316.352272727
22260,89.0,430.0,312.797752809
